what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1318374739954
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1318374739955
os,sysinfo,,,"macosx",1318374739958
arch,sysinfo,,,"x86_64",1318374739958
ws,sysinfo,,,"cocoa",1318374739958
locale,sysinfo,,,"en_US",1318374739958
processors,sysinfo,,,"8",1318374739958
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318374739958
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1318374739958
java.specification.name,sysinfo,,,"Java Platform API Specification",1318374739958
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318374739958
java.specification.version,sysinfo,,,"1.6",1318374739958
java.vendor,sysinfo,,,"Apple Inc.",1318374739958
java.version,sysinfo,,,"1.6.0_26",1318374739958
java.vm.info,sysinfo,,,"mixed mode",1318374739958
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1318374739958
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318374739958
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318374739958
java.vm.specification.version,sysinfo,,,"1.0",1318374739958
java.vm.vendor,sysinfo,,,"Apple Inc.",1318374739958
java.vm.version,sysinfo,,,"20.1-b02-383",1318374739958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318374740594
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318374742371
started,bundle,org.eclipse.draw2d,3.7.0.v20110425-2050,"org.eclipse.draw2d",1318374744321
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318374745554
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1318374745739
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1318374745803
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318374745831
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318374746037
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318374748508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318374869964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318374870986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318374889682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318374890128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318374890950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318374892465
started,bundle,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.ui",1318374897442
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1318374897463
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1318374897556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318374925696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318374937008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318374974943
